trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.023034900004859082,,0.0032368000101996586,5,0.023034900004859082,0.023034900004859082,0.015582399995764717,1.9572222999995574,[0.26296296296296295],[-0.34444444444444444],[1],[0],[0],[1.9411041999992449],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
1,0,1,0,1.973920000004,,1.9598811000032583,5,1.973920000004,1.973920000004,0.009661799995228648,3.3570550000004005,[0.10185185185185185],[-0.30833333333333335],[1],[0],[0],[1.3876239999954123],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
2,0,2,0,3.373987200000556,,3.359214100011741,5,3.373987200000556,3.373987200000556,0.010119100013980642,6.925182700011646,[-0.30925925925925923],[0.4638888888888889],[1],[0],[0],[3.5557450000051176],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
3,0,3,0,6.942348900003708,,6.92747640000016,5,6.942348900003708,6.942348900003708,0.009548700007144362,8.64077160001034,[0.15833333333333333],[0.25277777777777777],[1],[0],[0],[1.7031791000044905],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
4,0,4,0,8.670886300009442,,8.642920199999935,10,8.670886300009442,8.670886300009442,0.02022479999868665,11.457135400007246,[0.18425925925925926],[0.4888888888888889],[1],[0],[0],[2.793209700001171],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
5,0,5,0,11.474307600001339,,11.459376700004213,5,11.474307600001339,11.474307600001339,0.009504999994533136,13.023565499999677,[-0.044444444444444446],[-0.15555555555555556],[1],[0],[0],[1.5541181000007782],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
6,0,6,0,13.053187700003036,,13.025688200010336,10,13.053187700003036,13.053187700003036,0.019809799996437505,15.173234700007015,[-0.5009259259259259],[0.37777777777777777],[1],[0],[0],[2.1270942999981344],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
7,0,7,0,15.191405300007318,,15.175387200011755,5,15.191405300007318,15.191405300007318,0.009811900003114715,16.75634710000304,[-0.08518518518518518],[-0.15555555555555556],[1],[0],[0],[1.5710715999884997],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
8,0,8,0,16.773503100004746,,16.758499300005496,5,16.773503100004746,16.773503100004746,0.0095393000083277,18.98921290000726,[0.44351851851851853],[-0.26851851851851855],[1],[0],[0],[2.220439199998509],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
9,0,9,0,19.007123600007617,,18.991433800008963,5,19.007123600007617,19.007123600007617,0.00974750000750646,20.855799199998728,[0.2898148148148148],[0.43796296296296294],[1],[0],[0],[1.8540302000037627],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
10,0,10,0,20.88683200000378,,20.857940500005498,10,20.88683200000378,20.88683200000378,0.02027789999556262,22.638930800007074,[-0.3490740740740741],[-0.09444444444444444],[1],[0],[0],[1.7599852999992436],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
11,0,11,0,22.65641150000738,,22.64113640000869,5,22.65641150000738,22.65641150000738,0.009587300010025501,24.33772160000808,[0.31574074074074077],[0.18518518518518517],[1],[0],[0],[1.6871375999908196],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
12,0,12,0,24.36686560000817,,24.339877200007322,10,24.36686560000817,24.36686560000817,0.019758299997192807,27.320733000000473,[-0.25555555555555554],[0.46111111111111114],[1],[0],[0],[2.96120879999944],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
13,0,13,0,27.337905000007595,,27.322881200001575,5,27.337905000007595,27.337905000007595,0.009915100003127009,29.720500399998855,[-0.2388888888888889],[-0.30462962962962964],[1],[0],[0],[2.387771800000337],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
14,0,14,0,29.738624800011166,,29.722938400009298,5,29.738624800011166,29.738624800011166,0.010000800000852905,31.487812300008954,[0.42777777777777776],[-0.062037037037037036],[1],[0],[0],[1.754358999998658],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
15,0,15,0,31.518351500009885,,31.490008699998725,10,31.518351500009885,31.518351500009885,0.020047199999680743,33.20413140000892,[0.44074074074074077],[0.044444444444444446],[1],[0],[0],[1.6934112000017194],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
16,0,16,0,33.2218150000117,,33.20629300001019,5,33.2218150000117,33.2218150000117,0.009625699996831827,35.254186100006336,[0.3685185185185185],[-0.412962962962963],[1],[0],[0],[2.0375162999989698],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
17,0,17,0,35.271558899999945,,35.256310500000836,5,35.271558899999945,35.271558899999945,0.009743999995407648,36.82034510000085,[0.1537037037037037],[-0.05092592592592592],[1],[0],[0],[1.553575699988869],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
18,0,18,0,36.8506813999993,,36.82251040000119,10,36.8506813999993,36.8506813999993,0.020358399997348897,38.05282540000917,[-0.14907407407407408],[0.1111111111111111],[1],[0],[0],[1.2100275999982841],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
19,0,19,0,38.081924900005106,,38.05496890000359,10,38.081924900005106,38.081924900005106,0.018935899992357008,40.453427000000374,[-0.33055555555555555],[0.006481481481481481],[1],[0],[0],[2.378743499997654],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
20,0,20,0,40.48232340000686,,40.45562950000749,10,40.48232340000686,40.48232340000686,0.019869800002197735,42.06990320001205,[-0.17407407407407408],[0.3592592592592593],[1],[0],[0],[1.594165399990743],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
21,0,21,0,42.09923510000226,,42.07208550001087,10,42.09923510000226,42.09923510000226,0.020199099992169067,44.819392200006405,[-0.1287037037037037],[0.007407407407407408],[1],[0],[0],[2.72633949998999],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
22,0,22,0,44.836805800005095,,44.82157680000819,5,44.836805800005095,44.836805800005095,0.009683500000392087,46.53599730000133,[0.07962962962962963],[-0.05462962962962963],[1],[0],[0],[1.7043132999970112],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
23,0,23,0,46.566032300004736,,46.53816100000404,10,46.566032300004736,46.566032300004736,0.02010169999266509,48.26903830000083,[0.4064814814814815],[-0.19537037037037036],[1],[0],[0],[1.709897099994123],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
24,0,24,0,48.29772900001262,,48.271246700009215,10,48.29772900001262,48.29772900001262,0.01972609999938868,51.135501199998544,[0.487962962962963],[-0.43148148148148147],[1],[0],[0],[2.843956700002309],['target'],4,001,2024-10-10_12h42.25.347,Visual search task,2024.1.5,None,2024-10-10 12h42.34.588081 +0530,
