trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.1403610999986995,,0.05437789999996312,5,0.1403610999986995,0.1403610999986995,0.11624820000724867,1.4959052000049269,[0.44333333333333336],[0.22],[1],[0],[0],[1.3802258999930928],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
1,0,1,0,1.523563099995954,,1.501467900001444,5,1.523563099995954,1.523563099995954,0.010050799988675863,2.86128589999862,[0.31833333333333336],[-0.25833333333333336],[1],[0],[0],[1.3498390000022482],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
2,0,2,0,2.8907897000026423,,2.863425499992445,5,2.8907897000026423,2.8907897000026423,0.012447599990991876,4.2119942999997875,[0.34],[-0.385],[1],[0],[0],[1.336160100006964],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
3,0,3,0,4.240055899994331,,4.214120000004186,5,4.240055899994331,4.240055899994331,0.01097190000291448,5.877505199998268,[-0.39166666666666666],[-0.18],[1],[0],[0],[1.6525286999967648],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
4,0,4,0,5.923073600002681,,5.879578899999615,10,5.923073600002681,5.923073600002681,0.01941660000011325,7.144194099993911,[0.12833333333333333],[0.06],[1],[0],[0],[1.2452821000042604],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
5,0,5,0,7.173052900005132,,7.146819300003699,5,7.173052900005132,7.173052900005132,0.01241499999014195,8.577958599998965,[-0.48833333333333334],[0.31],[1],[0],[0],[1.4189574999909382],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
6,0,6,0,8.607157199992798,,8.580031099991174,5,8.607157199992798,8.607157199992798,0.011640100012300536,11.925999899991439,"[-0.028333333333333332, 0.37, 0.245]","[0.42333333333333334, 0.22833333333333333, 0.30666666666666664]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.5362605999980588, 2.38661490000959, 3.3344572000059998]",['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
7,0,7,0,11.955426300002728,,11.92808729999524,5,11.955426300002728,11.955426300002728,0.010394400000222959,13.676068699991447,[0.07333333333333333],[-0.43333333333333335],[1],[0],[0],[1.737612299999455],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
8,0,8,0,13.705284700001357,,13.678159999995842,10,13.705284700001357,13.705284700001357,0.019519800000125542,15.02600519999396,[0.4066666666666667],[0.40166666666666667],[1],[0],[0],[1.3284595000004629],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
9,0,9,0,15.055122299992945,,15.02815169999667,10,15.055122299992945,15.055122299992945,0.019206800003303215,17.908775599993533,[-0.2866666666666667],[-0.315],[1],[0],[0],[2.8614380000071833],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
10,0,10,0,17.954673699990963,,17.91098499999498,10,17.954673699990963,17.954673699990963,0.01954319998912979,19.943405500001973,[0.3466666666666667],[0.4166666666666667],[1],[0],[0],[2.0130241999868304],['target'],2,001,2024-10-10_12h21.30.794,Visual search task,2024.1.5,None,2024-10-10 12h21.44.004755 +0530,
