trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03404840000439435,,0.0035069000005023554,10,0.03404840000439435,0.03404840000439435,0.025630400006775744,2.2060993000050075,[0.02962962962962963],[-0.3925925925925926],[1],[0],[0],[2.1789728999865474],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
1,0,1,0,2.235358299993095,,2.208845899993321,10,2.235358299993095,2.235358299993095,0.019730399988475256,4.5551352000038605,[-0.4287037037037037],[-0.3416666666666667],[1],[0],[0],[2.32660179999948],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
2,0,2,0,4.584129599999869,,4.55767090000154,10,4.584129599999869,4.584129599999869,0.019729999999981374,7.105665700000827,[0.09259259259259259],[-0.24259259259259258],[1],[0],[0],[2.5280138999951305],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
3,0,3,0,7.134824299995671,,7.107841000004555,10,7.134824299995671,7.134824299995671,0.02013850001094397,9.287836300005438,[-0.47129629629629627],[-0.20555555555555555],[1],[0],[0],[2.1598728999961168],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
4,0,4,0,9.304487200002768,,9.290021099994192,5,9.304487200002768,9.304487200002768,0.00968079999438487,10.804272900000797,[-0.28055555555555556],[0.10092592592592593],[1],[0],[0],[1.504663800005801],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
5,0,5,0,10.82041329999629,,10.80642710000393,5,10.82041329999629,10.82041329999629,0.009646099992096424,12.170690999992075,[-0.05925925925925926],[0.3416666666666667],[1],[0],[0],[1.3547029000037583],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
6,0,6,0,12.1877475999936,,12.172855900003924,5,12.1877475999936,12.1877475999936,0.010358299987274222,14.087210400000913,[-0.23703703703703705],[-0.19166666666666668],[1],[0],[0],[1.9040526000026148],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
7,0,7,0,14.11659389999113,,14.089638899997226,10,14.11659389999113,14.11659389999113,0.02030029999150429,17.60407909999776,[-0.0712962962962963],[0.010185185185185186],[1],[0],[0],[3.4935301000077743],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
8,0,8,0,17.62144809999154,,17.606314999997267,5,17.62144809999154,17.62144809999154,0.009613699992769398,19.254181399999652,[-0.06388888888888888],[0.4101851851851852],[1],[0],[0],[1.6374529999884544],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
9,0,9,0,19.284159799994086,,19.25635969999712,10,19.284159799994086,19.284159799994086,0.02109280000149738,21.82041849999223,[0.37407407407407406],[0.2064814814814815],[1],[0],[0],[2.5422199000022374],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
10,0,10,0,21.849500800002716,,21.822595899997395,10,21.849500800002716,21.849500800002716,0.020073200008482672,28.003167000002577,[0.2935185185185185],[-0.22037037037037038],[1],[0],[0],[6.160168900009012],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
11,0,11,0,28.020962399998098,,28.005318800001987,5,28.020962399998098,28.020962399998098,0.010321100009605289,29.769436599992332,[0.000925925925925926],[0.3824074074074074],[1],[0],[0],[1.7531033999985084],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
12,0,12,0,29.798869499994908,,29.77169789999607,10,29.798869499994908,29.798869499994908,0.020404599999892525,31.635710999995354,[-0.24537037037037038],[0.45925925925925926],[1],[0],[0],[1.8432035000005271],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
13,0,13,0,31.652690200004145,,31.638064400001895,5,31.652690200004145,31.652690200004145,0.010115099998074584,33.752281900000526,[-0.4703703703703704],[-0.2722222222222222],[1],[0],[0],[2.1033081999921706],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
14,0,14,0,33.76974639999389,,33.75442579999799,5,33.76974639999389,33.76974639999389,0.009908600011840463,35.68521860000328,[-0.47314814814814815],[-0.11944444444444445],[1],[0],[0],[1.920427999997628],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
15,0,15,0,35.70379139999568,,35.68739540000388,5,35.70379139999568,35.70379139999568,0.010419599988381378,37.00170999999682,[-0.22592592592592592],[0.037037037037037035],[1],[0],[0],[1.3031820000032894],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
16,0,16,0,37.01906809999491,,37.00393049999548,5,37.01906809999491,37.01906809999491,0.009734400009620003,38.21814979999908,[-0.20092592592592592],[0.05462962962962963],[1],[0],[0],[1.2041842000035103],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
17,0,17,0,38.235628800000995,,38.22029759999714,5,38.235628800000995,38.235628800000995,0.009717000008095056,40.10179369999969,[-0.05462962962962963],[0.08333333333333333],[1],[0],[0],[1.8710150999977486],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
18,0,18,0,40.13240659999428,,40.104019299993524,10,40.13240659999428,40.13240659999428,0.020382000002427958,42.43343350000214,[-0.19444444444444445],[-0.36203703703703705],[1],[0],[0],[2.3091299000079744],['target'],3,001,2024-10-10_12h34.18.398,Visual search task,2024.1.5,None,2024-10-10 12h34.25.735910 +0530,
